entity_id,views,list_views,searches,cart_adds,cart_updates,checkouts,orders,reviews,chat_messages,buy_score_heuristic,top_category,has_order,behavior_label,label_confidence,event_count,first_event_at,last_event_at
bench-loyal_customer-043,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T11:33:32.256248+00:00,2026-04-19T17:43:34.256248+00:00
bench-impulse_buyer-048,1,1,0,1,0,1,1,0,0,20,clothes,1,impulse_buyer,0.82,5,2026-04-13T11:36:35.256248+00:00,2026-04-19T11:05:34.256248+00:00
bench-impulse_buyer-036,1,1,0,1,0,1,1,0,0,20,mobile,1,impulse_buyer,0.82,5,2026-04-13T11:48:33.256248+00:00,2026-04-19T21:45:35.256248+00:00
bench-loyal_customer-019,1,0,0,1,0,1,2,1,0,30,clothes,1,loyal_customer,0.9,6,2026-04-13T12:03:32.256248+00:00,2026-04-19T02:43:35.256248+00:00
bench-loyal_customer-051,1,0,0,1,0,1,2,1,0,30,computer,1,loyal_customer,0.9,6,2026-04-13T12:20:36.256248+00:00,2026-04-18T18:47:31.256248+00:00
bench-price_sensitive-012,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-13T12:23:33.256248+00:00,2026-04-18T04:59:32.256248+00:00
bench-researcher-034,2,1,2,0,0,0,0,0,1,11,mobile,0,researcher,0.58,6,2026-04-13T12:23:35.256248+00:00,2026-04-17T22:36:34.256248+00:00
bench-window_shopper-048,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-13T12:42:33.256248+00:00,2026-04-17T06:39:35.256248+00:00
bench-loyal_customer-044,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T12:54:35.256248+00:00,2026-04-20T00:03:32.256248+00:00
bench-researcher-041,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-13T12:54:36.256248+00:00,2026-04-19T19:05:35.256248+00:00
bench-price_sensitive-021,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-13T12:57:32.256248+00:00,2026-04-18T00:39:36.256248+00:00
bench-window_shopper-005,2,1,0,0,0,0,0,0,0,6,computer,0,impulse_buyer,0.52,4,2026-04-13T13:09:36.256248+00:00,2026-04-20T00:58:34.256248+00:00
bench-window_shopper-030,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-13T13:16:35.256248+00:00,2026-04-18T20:54:33.256248+00:00
bench-price_sensitive-035,1,0,2,1,1,0,0,0,0,12,clothes,0,researcher,0.58,6,2026-04-13T13:18:32.256248+00:00,2026-04-19T23:43:33.256248+00:00
bench-window_shopper-051,2,1,0,0,0,0,0,0,0,6,computer,0,impulse_buyer,0.52,4,2026-04-13T13:18:33.256248+00:00,2026-04-18T11:20:34.256248+00:00
bench-loyal_customer-037,1,0,0,1,0,1,2,1,0,30,computer,1,loyal_customer,0.9,6,2026-04-13T13:20:33.256248+00:00,2026-04-19T17:35:35.256248+00:00
bench-researcher-033,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-13T13:38:34.256248+00:00,2026-04-17T15:37:35.256248+00:00
bench-price_sensitive-028,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-13T13:39:33.256248+00:00,2026-04-19T04:15:34.256248+00:00
bench-loyal_customer-001,1,0,0,1,0,1,2,1,0,30,clothes,1,loyal_customer,0.9,6,2026-04-13T13:39:34.256248+00:00,2026-04-18T15:24:36.256248+00:00
bench-impulse_buyer-047,1,1,0,1,0,1,1,0,0,20,clothes,1,impulse_buyer,0.82,5,2026-04-13T14:24:33.256248+00:00,2026-04-19T18:38:32.256248+00:00
bench-loyal_customer-034,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T14:24:33.256248+00:00,2026-04-18T16:31:32.256248+00:00
bench-loyal_customer-049,1,0,0,1,0,1,2,1,0,30,clothes,1,loyal_customer,0.9,6,2026-04-13T14:34:32.256248+00:00,2026-04-20T06:29:33.256248+00:00
bench-window_shopper-022,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-13T14:36:33.256248+00:00,2026-04-19T10:25:34.256248+00:00
bench-window_shopper-001,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-13T14:40:34.256248+00:00,2026-04-16T17:53:36.256248+00:00
bench-loyal_customer-033,1,0,0,1,0,1,2,1,0,30,computer,1,loyal_customer,0.9,6,2026-04-13T14:44:33.256248+00:00,2026-04-19T03:36:31.256248+00:00
bench-window_shopper-027,2,1,0,0,0,0,0,0,0,6,clothes,0,impulse_buyer,0.52,4,2026-04-13T14:45:34.256248+00:00,2026-04-17T19:03:33.256248+00:00
bench-impulse_buyer-055,1,1,0,1,0,1,1,0,0,20,computer,1,impulse_buyer,0.82,5,2026-04-13T14:48:33.256248+00:00,2026-04-17T21:34:32.256248+00:00
bench-impulse_buyer-050,1,1,0,1,0,1,1,0,0,20,computer,1,impulse_buyer,0.82,5,2026-04-13T15:09:32.256248+00:00,2026-04-18T09:45:36.256248+00:00
bench-impulse_buyer-014,1,1,0,1,0,1,1,0,0,20,mobile,1,impulse_buyer,0.82,5,2026-04-13T15:13:33.256248+00:00,2026-04-18T13:44:34.256248+00:00
bench-researcher-056,2,1,2,0,0,0,0,0,1,11,mobile,0,researcher,0.58,6,2026-04-13T15:20:33.256248+00:00,2026-04-18T23:59:35.256248+00:00
bench-price_sensitive-055,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-13T15:22:34.256248+00:00,2026-04-18T16:25:31.256248+00:00
bench-researcher-035,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-13T15:27:35.256248+00:00,2026-04-19T00:16:32.256248+00:00
bench-window_shopper-016,2,1,0,0,0,0,0,0,0,6,clothes,0,impulse_buyer,0.52,4,2026-04-13T15:31:35.256248+00:00,2026-04-18T17:54:33.256248+00:00
bench-researcher-019,2,1,2,0,0,0,0,0,1,11,mobile,0,researcher,0.58,6,2026-04-13T15:38:35.256248+00:00,2026-04-20T05:45:36.256248+00:00
bench-impulse_buyer-013,1,1,0,1,0,1,1,0,0,20,mobile,1,impulse_buyer,0.82,5,2026-04-13T15:39:36.256248+00:00,2026-04-18T11:21:33.256248+00:00
bench-loyal_customer-009,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T15:52:36.256248+00:00,2026-04-19T17:23:34.256248+00:00
bench-price_sensitive-000,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-13T15:54:34.256248+00:00,2026-04-17T01:39:33.256248+00:00
bench-window_shopper-037,2,1,0,0,0,0,0,0,0,6,computer,0,impulse_buyer,0.52,4,2026-04-13T15:55:35.256248+00:00,2026-04-18T01:13:34.256248+00:00
bench-loyal_customer-045,1,0,0,1,0,1,2,1,0,30,computer,1,loyal_customer,0.9,6,2026-04-13T15:57:34.256248+00:00,2026-04-20T02:13:33.256248+00:00
bench-price_sensitive-027,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-13T16:02:34.256248+00:00,2026-04-19T20:08:33.256248+00:00
bench-window_shopper-010,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-13T16:20:35.256248+00:00,2026-04-20T02:52:36.256248+00:00
bench-window_shopper-039,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-13T16:51:36.256248+00:00,2026-04-20T05:27:34.256248+00:00
bench-loyal_customer-011,1,0,0,1,0,1,2,1,0,30,clothes,1,loyal_customer,0.9,6,2026-04-13T16:52:32.256248+00:00,2026-04-18T20:22:36.256248+00:00
bench-researcher-018,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-13T16:53:35.256248+00:00,2026-04-19T03:51:33.256248+00:00
bench-price_sensitive-056,1,0,2,1,1,0,0,0,0,12,clothes,0,researcher,0.58,6,2026-04-13T17:09:31.256248+00:00,2026-04-20T08:01:34.256248+00:00
bench-researcher-008,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-13T17:17:32.256248+00:00,2026-04-20T01:29:35.256248+00:00
bench-researcher-026,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-13T17:19:32.256248+00:00,2026-04-18T13:54:34.256248+00:00
bench-researcher-027,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-13T17:20:31.256248+00:00,2026-04-18T01:18:33.256248+00:00
bench-window_shopper-043,2,1,0,0,0,0,0,0,0,6,computer,0,impulse_buyer,0.52,4,2026-04-13T17:20:33.256248+00:00,2026-04-17T15:18:34.256248+00:00
bench-researcher-047,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-13T17:27:31.256248+00:00,2026-04-20T04:01:34.256248+00:00
bench-window_shopper-026,2,1,0,0,0,0,0,0,0,6,clothes,0,impulse_buyer,0.52,4,2026-04-13T17:34:36.256248+00:00,2026-04-18T22:51:35.256248+00:00
bench-researcher-058,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-13T17:40:32.256248+00:00,2026-04-20T06:41:35.256248+00:00
bench-impulse_buyer-049,1,1,0,1,0,1,1,0,0,20,computer,1,impulse_buyer,0.82,5,2026-04-13T17:40:36.256248+00:00,2026-04-18T14:49:35.256248+00:00
bench-researcher-048,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-13T17:42:31.256248+00:00,2026-04-18T13:07:33.256248+00:00
bench-loyal_customer-059,1,0,0,1,0,1,2,1,0,30,clothes,1,loyal_customer,0.9,6,2026-04-13T17:43:31.256248+00:00,2026-04-20T01:11:36.256248+00:00
bench-window_shopper-054,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-13T17:43:36.256248+00:00,2026-04-15T02:12:35.256248+00:00
bench-loyal_customer-020,1,0,0,1,0,1,2,1,0,30,computer,1,loyal_customer,0.9,6,2026-04-13T18:06:33.256248+00:00,2026-04-19T11:41:31.256248+00:00
bench-impulse_buyer-024,1,1,0,1,0,1,1,0,0,20,mobile,1,impulse_buyer,0.82,5,2026-04-13T18:16:35.256248+00:00,2026-04-20T00:14:32.256248+00:00
bench-loyal_customer-010,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T18:27:35.256248+00:00,2026-04-20T05:58:32.256248+00:00
bench-researcher-002,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-13T18:40:35.256248+00:00,2026-04-20T04:40:34.256248+00:00
bench-window_shopper-000,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-13T19:42:34.256248+00:00,2026-04-17T05:06:33.256248+00:00
bench-loyal_customer-025,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T19:50:31.256248+00:00,2026-04-19T03:26:36.256248+00:00
bench-price_sensitive-049,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-13T20:17:32.256248+00:00,2026-04-17T06:14:36.256248+00:00
bench-impulse_buyer-000,1,1,0,1,0,1,1,0,0,20,clothes,1,impulse_buyer,0.82,5,2026-04-13T20:23:33.256248+00:00,2026-04-19T22:42:32.256248+00:00
bench-loyal_customer-053,1,0,0,1,0,1,2,1,0,30,clothes,1,loyal_customer,0.9,6,2026-04-13T20:27:32.256248+00:00,2026-04-20T06:52:35.256248+00:00
bench-price_sensitive-040,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-13T20:36:34.256248+00:00,2026-04-19T02:28:32.256248+00:00
bench-loyal_customer-050,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T20:39:35.256248+00:00,2026-04-20T00:26:34.256248+00:00
bench-impulse_buyer-004,1,1,0,1,0,1,1,0,0,20,clothes,1,impulse_buyer,0.82,5,2026-04-13T20:59:35.256248+00:00,2026-04-19T18:33:36.256248+00:00
bench-price_sensitive-029,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-13T21:25:34.256248+00:00,2026-04-19T07:24:32.256248+00:00
bench-price_sensitive-031,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-13T21:26:36.256248+00:00,2026-04-18T16:19:34.256248+00:00
bench-researcher-029,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-13T21:28:33.256248+00:00,2026-04-19T16:46:34.256248+00:00
bench-window_shopper-038,2,1,0,0,0,0,0,0,0,6,computer,0,impulse_buyer,0.52,4,2026-04-13T21:32:34.256248+00:00,2026-04-16T16:16:33.256248+00:00
bench-window_shopper-019,2,1,0,0,0,0,0,0,0,6,computer,0,impulse_buyer,0.52,4,2026-04-13T21:34:35.256248+00:00,2026-04-19T09:16:36.256248+00:00
bench-loyal_customer-038,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T21:36:36.256248+00:00,2026-04-19T04:05:31.256248+00:00
bench-impulse_buyer-053,1,1,0,1,0,1,1,0,0,20,computer,1,impulse_buyer,0.82,5,2026-04-13T21:41:35.256248+00:00,2026-04-17T22:16:34.256248+00:00
bench-price_sensitive-054,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-13T22:03:33.256248+00:00,2026-04-19T13:13:36.256248+00:00
bench-window_shopper-057,2,1,0,0,0,0,0,0,0,6,clothes,0,impulse_buyer,0.52,4,2026-04-13T22:17:34.256248+00:00,2026-04-19T22:40:35.256248+00:00
bench-impulse_buyer-041,1,1,0,1,0,1,1,0,0,20,clothes,1,impulse_buyer,0.82,5,2026-04-13T22:20:34.256248+00:00,2026-04-20T02:43:32.256248+00:00
bench-price_sensitive-033,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-13T22:22:32.256248+00:00,2026-04-19T15:27:35.256248+00:00
bench-impulse_buyer-040,1,1,0,1,0,1,1,0,0,20,clothes,1,impulse_buyer,0.82,5,2026-04-13T22:27:32.256248+00:00,2026-04-20T08:04:33.256248+00:00
bench-price_sensitive-053,1,0,2,1,1,0,0,0,0,12,clothes,0,researcher,0.58,6,2026-04-13T22:39:34.256248+00:00,2026-04-19T13:56:33.256248+00:00
bench-researcher-005,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-13T23:06:35.256248+00:00,2026-04-20T04:05:36.256248+00:00
bench-window_shopper-033,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-13T23:06:36.256248+00:00,2026-04-19T22:31:33.256248+00:00
bench-window_shopper-023,2,1,0,0,0,0,0,0,0,6,computer,0,impulse_buyer,0.52,4,2026-04-13T23:10:36.256248+00:00,2026-04-18T12:33:35.256248+00:00
bench-researcher-028,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-13T23:11:34.256248+00:00,2026-04-19T14:36:32.256248+00:00
bench-window_shopper-013,2,1,0,0,0,0,0,0,0,6,clothes,0,impulse_buyer,0.52,4,2026-04-13T23:42:33.256248+00:00,2026-04-20T07:26:34.256248+00:00
bench-impulse_buyer-008,1,1,0,1,0,1,1,0,0,20,mobile,1,impulse_buyer,0.82,5,2026-04-13T23:53:35.256248+00:00,2026-04-17T23:56:32.256248+00:00
bench-loyal_customer-046,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T23:54:32.256248+00:00,2026-04-19T07:53:34.256248+00:00
bench-price_sensitive-009,1,0,2,1,1,0,0,0,0,12,clothes,0,researcher,0.58,6,2026-04-13T23:58:34.256248+00:00,2026-04-19T08:08:33.256248+00:00
bench-price_sensitive-044,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-14T00:04:35.256248+00:00,2026-04-20T02:13:36.256248+00:00
bench-researcher-059,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-14T00:08:31.256248+00:00,2026-04-19T06:13:33.256248+00:00
bench-window_shopper-007,2,1,0,0,0,0,0,0,0,6,computer,0,impulse_buyer,0.52,4,2026-04-14T00:09:35.256248+00:00,2026-04-18T21:53:36.256248+00:00
bench-researcher-042,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-14T00:37:33.256248+00:00,2026-04-20T04:57:32.256248+00:00
bench-window_shopper-018,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-14T00:52:35.256248+00:00,2026-04-16T07:56:34.256248+00:00
bench-impulse_buyer-019,1,1,0,1,0,1,1,0,0,20,mobile,1,impulse_buyer,0.82,5,2026-04-14T00:55:32.256248+00:00,2026-04-20T08:07:35.256248+00:00
bench-researcher-053,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-14T00:56:33.256248+00:00,2026-04-19T11:33:35.256248+00:00
bench-loyal_customer-014,1,0,0,1,0,1,2,1,0,30,clothes,1,loyal_customer,0.9,6,2026-04-14T01:12:36.256248+00:00,2026-04-20T07:28:33.256248+00:00
bench-impulse_buyer-029,1,1,0,1,0,1,1,0,0,20,mobile,1,impulse_buyer,0.82,5,2026-04-14T01:15:34.256248+00:00,2026-04-17T11:13:35.256248+00:00
bench-researcher-045,2,1,2,0,0,0,0,0,1,11,mobile,0,researcher,0.58,6,2026-04-14T01:24:35.256248+00:00,2026-04-20T05:10:34.256248+00:00
bench-window_shopper-028,2,1,0,0,0,0,0,0,0,6,clothes,0,impulse_buyer,0.52,4,2026-04-14T02:31:35.256248+00:00,2026-04-17T10:25:36.256248+00:00
bench-price_sensitive-037,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-14T02:38:33.256248+00:00,2026-04-20T03:33:34.256248+00:00
bench-price_sensitive-020,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-14T02:50:31.256248+00:00,2026-04-20T04:12:35.256248+00:00
bench-price_sensitive-015,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-14T02:53:32.256248+00:00,2026-04-20T03:44:35.256248+00:00
bench-researcher-037,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-14T02:57:33.256248+00:00,2026-04-18T22:24:34.256248+00:00
bench-loyal_customer-029,1,0,0,1,0,1,2,1,0,30,computer,1,loyal_customer,0.9,6,2026-04-14T03:45:35.256248+00:00,2026-04-19T11:07:31.256248+00:00
bench-impulse_buyer-033,1,1,0,1,0,1,1,0,0,20,computer,1,impulse_buyer,0.82,5,2026-04-14T03:54:36.256248+00:00,2026-04-19T13:52:34.256248+00:00
bench-price_sensitive-059,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-14T03:58:33.256248+00:00,2026-04-20T06:51:31.256248+00:00
bench-researcher-052,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-14T04:07:33.256248+00:00,2026-04-19T16:54:34.256248+00:00
bench-researcher-007,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-14T04:15:33.256248+00:00,2026-04-18T19:11:36.256248+00:00
bench-price_sensitive-022,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-14T04:17:33.256248+00:00,2026-04-19T22:42:34.256248+00:00
bench-impulse_buyer-058,1,1,0,1,0,1,1,0,0,20,mobile,1,impulse_buyer,0.82,5,2026-04-14T04:43:34.256248+00:00,2026-04-19T07:20:35.256248+00:00
bench-impulse_buyer-011,1,1,0,1,0,1,1,0,0,20,clothes,1,impulse_buyer,0.82,5,2026-04-14T04:53:32.256248+00:00,2026-04-18T16:31:33.256248+00:00
bench-loyal_customer-000,1,0,0,1,0,1,2,1,0,30,computer,1,loyal_customer,0.9,6,2026-04-14T05:11:33.256248+00:00,2026-04-20T04:20:32.256248+00:00
bench-price_sensitive-023,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-14T05:14:32.256248+00:00,2026-04-18T17:01:31.256248+00:00
bench-loyal_customer-047,1,0,0,1,0,1,2,1,0,30,clothes,1,loyal_customer,0.9,6,2026-04-14T05:32:31.256248+00:00,2026-04-19T15:03:34.256248+00:00
bench-window_shopper-008,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-14T05:45:34.256248+00:00,2026-04-19T17:43:33.256248+00:00
bench-impulse_buyer-031,1,1,0,1,0,1,1,0,0,20,computer,1,impulse_buyer,0.82,5,2026-04-14T06:19:35.256248+00:00,2026-04-20T06:02:32.256248+00:00
bench-window_shopper-006,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-14T06:26:34.256248+00:00,2026-04-19T10:06:35.256248+00:00
bench-researcher-017,2,1,2,0,0,0,0,0,1,11,mobile,0,researcher,0.58,6,2026-04-14T06:31:36.256248+00:00,2026-04-18T17:45:31.256248+00:00
bench-impulse_buyer-034,1,1,0,1,0,1,1,0,0,20,computer,1,impulse_buyer,0.82,5,2026-04-14T06:42:36.256248+00:00,2026-04-19T09:43:35.256248+00:00
bench-researcher-038,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-14T06:43:35.256248+00:00,2026-04-19T02:52:31.256248+00:00
bench-price_sensitive-025,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-14T06:44:31.256248+00:00,2026-04-20T07:04:34.256248+00:00
bench-price_sensitive-001,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-14T06:47:34.256248+00:00,2026-04-19T01:56:31.256248+00:00
bench-price_sensitive-004,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-14T06:53:31.256248+00:00,2026-04-18T18:47:34.256248+00:00
bench-researcher-009,2,1,2,0,0,0,0,0,1,11,mobile,0,researcher,0.58,6,2026-04-14T07:04:35.256248+00:00,2026-04-18T06:11:36.256248+00:00
bench-researcher-016,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-14T07:23:35.256248+00:00,2026-04-19T10:54:34.256248+00:00
bench-price_sensitive-006,1,0,2,1,1,0,0,0,0,12,clothes,0,researcher,0.58,6,2026-04-14T07:59:33.256248+00:00,2026-04-20T06:49:32.256248+00:00
bench-window_shopper-009,2,1,0,0,0,0,0,0,0,6,clothes,0,impulse_buyer,0.52,4,2026-04-14T08:34:35.256248+00:00,2026-04-20T04:57:36.256248+00:00
bench-impulse_buyer-027,1,1,0,1,0,1,1,0,0,20,clothes,1,impulse_buyer,0.82,5,2026-04-14T08:46:33.256248+00:00,2026-04-18T09:44:32.256248+00:00
bench-price_sensitive-030,1,0,2,1,1,0,0,0,0,12,clothes,0,researcher,0.58,6,2026-04-14T09:45:33.256248+00:00,2026-04-19T21:35:35.256248+00:00
bench-price_sensitive-036,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-14T09:50:34.256248+00:00,2026-04-18T16:19:36.256248+00:00
bench-price_sensitive-005,1,0,2,1,1,0,0,0,0,12,clothes,0,researcher,0.58,6,2026-04-14T10:22:36.256248+00:00,2026-04-18T01:04:35.256248+00:00
bench-price_sensitive-048,1,0,2,1,1,0,0,0,0,12,clothes,0,researcher,0.58,6,2026-04-14T10:45:32.256248+00:00,2026-04-19T15:34:36.256248+00:00
bench-price_sensitive-052,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-14T10:50:34.256248+00:00,2026-04-20T02:33:33.256248+00:00
bench-window_shopper-050,2,1,0,0,0,0,0,0,0,6,mobile,0,impulse_buyer,0.52,4,2026-04-14T10:54:33.256248+00:00,2026-04-19T07:28:34.256248+00:00
bench-researcher-046,2,1,2,0,0,0,0,0,1,11,clothes,0,researcher,0.58,6,2026-04-14T10:59:31.256248+00:00,2026-04-20T06:38:33.256248+00:00
bench-researcher-031,2,1,2,0,0,0,0,0,1,11,mobile,0,researcher,0.58,6,2026-04-14T11:15:33.256248+00:00,2026-04-19T12:44:31.256248+00:00
bench-price_sensitive-034,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-14T11:16:35.256248+00:00,2026-04-16T22:07:33.256248+00:00
bench-price_sensitive-047,1,0,2,1,1,0,0,0,0,12,clothes,0,researcher,0.58,6,2026-04-14T11:33:32.256248+00:00,2026-04-19T17:54:34.256248+00:00
bench-researcher-051,2,1,2,0,0,0,0,0,1,11,computer,0,researcher,0.58,6,2026-04-14T11:40:36.256248+00:00,2026-04-19T10:00:34.256248+00:00
bench-impulse_buyer-039,1,1,0,1,0,1,1,0,0,20,computer,1,impulse_buyer,0.82,5,2026-04-14T11:45:32.256248+00:00,2026-04-16T21:36:33.256248+00:00
